INFO 2025-02-19 21:56:18,622 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-19 21:56:18,967 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\DLLs\_socket.pyd first seen with mtime 1666629288.0
DEBUG 2025-02-19 21:56:18,967 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1739825269.825353
DEBUG 2025-02-19 21:56:18,968 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\contextvars.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,968 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework_jwt\settings.py first seen with mtime 1739826715.8087962
DEBUG 2025-02-19 21:56:18,968 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1739825269.8673542
DEBUG 2025-02-19 21:56:18,969 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1739825269.7943528
DEBUG 2025-02-19 21:56:18,969 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,969 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1739825269.8993535
DEBUG 2025-02-19 21:56:18,970 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1739825269.8433528
DEBUG 2025-02-19 21:56:18,970 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1739825269.852353
DEBUG 2025-02-19 21:56:18,970 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1739825849.910803
DEBUG 2025-02-19 21:56:18,971 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1739825269.852353
DEBUG 2025-02-19 21:56:18,971 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1739825269.4542842
DEBUG 2025-02-19 21:56:18,972 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\re\_constants.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,972 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\wsgiref\__init__.py first seen with mtime 1666629250.0
DEBUG 2025-02-19 21:56:18,972 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\http.py first seen with mtime 1739825269.9273534
DEBUG 2025-02-19 21:56:18,973 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\tempfile.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,973 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1739825269.9123528
DEBUG 2025-02-19 21:56:18,973 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1739825269.9193535
DEBUG 2025-02-19 21:56:18,974 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\wsgiref\simple_server.py first seen with mtime 1666629250.0
DEBUG 2025-02-19 21:56:18,974 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\_compat_pickle.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,975 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1739825268.9091966
DEBUG 2025-02-19 21:56:18,975 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1739825269.806353
DEBUG 2025-02-19 21:56:18,975 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1739825269.8623528
DEBUG 2025-02-19 21:56:18,975 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1739825269.8163526
DEBUG 2025-02-19 21:56:18,976 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,976 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1739825268.4231963
DEBUG 2025-02-19 21:56:18,977 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\PIL\__init__.py first seen with mtime 1739826359.0957727
DEBUG 2025-02-19 21:56:18,977 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1739825269.8503528
DEBUG 2025-02-19 21:56:18,977 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,978 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1739825269.809353
DEBUG 2025-02-19 21:56:18,978 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1739825269.8423529
DEBUG 2025-02-19 21:56:18,978 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1739825269.8583534
